account_created_at,protected,followers_count,following_count,statuses_count
6/25/2012 1:39,0,3,0,10
12/23/2012 19:09,0,0,0,0
6/14/2011 15:05,0,0,0,0
3/19/2009 2:36,0,8,11,5
3/22/2010 11:23,0,122,127,1681
10/10/2010 14:23,1,1,7,0
8/7/2009 15:19,0,7,23,4
4/6/2013 4:41,0,2,15,12
8/10/2011 8:47,0,383,807,6347
4/8/2012 3:01,0,0,2,0
12/16/2010 13:22,0,0,14,12
2/6/2010 3:17,0,1,1,1
12/30/2011 13:03,0,0,2,0
4/17/2013 20:01,0,0,2,0
10/24/2010 7:00,0,0,2,0
3/1/2009 19:01,0,3,1,1
4/1/2012 19:48,1,119,160,334
1/3/2010 0:14,0,1,1,1
10/6/2012 2:53,0,0,0,0
12/30/2011 6:14,0,1,32,0
5/18/2012 3:37,0,0,48,16
8/7/2013 1:42,0,0,6,7
11/3/2009 16:38,1,2,16,51
6/1/2009 19:33,0,1,4,0
4/22/2011 1:26,0,14,16,15
12/25/2011 10:17,0,6,23,2
5/22/2012 17:57,0,0,8,2
11/9/2010 0:45,0,0,1,0
8/14/2013 3:37,0,0,0,0
11/18/2010 4:16,0,0,1,0
3/16/2011 5:35,0,0,2,1
11/2/2012 16:00,0,3,8,6
2/23/2013 21:52,0,8,43,60
7/8/2010 18:22,0,1,11,18
12/1/2010 2:59,0,9,3,18
8/31/2012 18:04,0,133,46,3243
8/26/2009 22:06,0,9,25,8
10/26/2011 6:59,0,259,80,5265
1/21/2011 1:30,0,0,0,1
9/14/2010 12:29,1,0,21,0
10/27/2010 3:14,0,0,0,0
8/17/2011 4:47,0,5,22,0
8/1/2013 17:04,0,196,279,1154
8/21/2012 5:08,0,380,905,18
6/24/2012 9:53,0,0,0,0
7/9/2009 21:54,0,7,14,118
1/16/2011 13:37,0,99,11,12287
10/31/2012 10:41,0,0,0,0
7/29/2011 16:02,0,11,144,342
3/8/2010 14:39,0,3,10,2
7/5/2013 23:56,0,19,108,12
6/15/2013 17:17,0,23,107,19
12/22/2012 3:55,0,0,1,0
11/14/2011 6:10,0,0,0,0
3/2/2013 19:24,0,0,1,1
7/3/2010 19:13,0,295,1000,4732
3/19/2012 11:41,0,0,0,0
8/11/2013 15:28,0,1,2,0
8/2/2013 17:59,0,5,138,1
7/9/2012 7:06,0,0,0,0
8/23/2013 14:09,0,0,0,0
5/26/2012 23:43,0,2,1,2
6/30/2013 20:28,0,18,31,36
10/6/2011 15:56,0,6,60,3
4/10/2009 20:36,0,1,1,7
3/2/2013 4:12,0,43,287,621
5/14/2013 9:40,0,0,0,0
7/30/2009 23:00,0,2,0,0
4/2/2011 20:31,0,0,0,0
8/12/2013 11:34,0,3,1,0
1/15/2011 10:13,0,1,0,0
6/12/2013 22:36,0,5,25,4
2/10/2012 11:52,0,1,0,0
5/5/2012 5:35,0,109,239,1930
5/27/2013 0:26,0,0,10,0
11/14/2009 15:04,1,100,213,13343
11/27/2012 16:50,0,5,35,0
9/16/2010 16:35,0,0,1,0
9/21/2011 23:31,0,0,0,0
1/13/2012 14:27,0,0,0,1
7/20/2009 9:49,0,4,20,1
5/19/2012 14:42,0,11,7,1
7/13/2011 15:38,0,8,16,1
